o_id,a_id
2609,1185
542,107
1206,18
858,132
821,48
2058,732
6459,116
2212,69
1765,3
38,228
8,87
1347,263
194,337
1435,2132
0,666
4911,55
505,173
1194,1
5835,184
772,191
350,455
387,91
306,25
7464,1174
5652,705
84,102
4377,67
40,4
335,87
231,38
7126,5
201,23
1962,703
4595,40
770,93
2622,1408
371,272
110,687
405,103
1140,259
7975,1
1315,137
125,99
471,91
261,393
270,633
0,109
664,132
2549,164
6244,1281
2431,128
87,24
3602,301
4599,37
901,714
43,222
1000,139
68,699
603,38
1931,46
1571,7
423,139
100,20
1465,176
88,1160
19,6
2529,122
5,39
1347,52
3882,367
2563,9
0,937
1775,13
85,250
2272,179
4892,87
1357,2192
657,2166
2818,504
1161,26
84,309
303,21
4891,6
593,601
1013,368
169,81
3050,128
155,2
3610,134
526,55
28,268
448,8
58,827
60,157
23,11
2533,103
198,119
899,16
205,777
5157,1
3911,701
889,1776
1392,5
3480,189
359,0
163,365
956,54
133,1101
121,251
4520,1585
93,101
3,261
1490,1837
10,619
28,752
909,857
6536,43
2018,43
1047,23
5222,1727
1236,92
187,81
28,1115
2157,127
32,1378
733,166
1358,683
6987,75
1060,17
11,28
163,169
456,189
186,10
4790,1
340,791
128,143
88,2007
2773,24
450,169
0,248
309,98
23,1812
3646,94
2682,85
43,75
29,20
15,33
423,828
8,305
907,627
56,29
42,16
487,1630
270,0
763,23
3070,1
4622,455
668,2
43,535
4170,14
857,79
730,455
216,65
112,50
679,386
61,103
47,52
17,1
1,644
40,190
1612,55
28,391
178,20
30,1229
572,196
1469,50
187,302
406,12
2761,585
196,688
2015,91
2,153
2950,13
27,758
525,75
3406,138
82,218
619,1
605,46
1,320
199,1373
93,1018
870,146
547,205
7248,1
7,63
505,899
159,128
270,791
489,6
537,80
48,3
133,758
4151,1079
319,44
252,1
42,323
4849,210
28,1682
835,2
1921,3
67,172
3831,42
76,166
3102,904
1035,189
3072,683
2279,229
7893,132
161,416
57,247
147,117
52,62
2624,81
7318,82
3,1286
227,48
1149,793
1594,134
86,213
6679,1329
132,5
1347,298
118,186
307,25
4844,23
226,91
122,24
2106,97
198,157
4470,337
1143,93
265,1194
138,1208
27,7
1422,58
3620,11
1380,384
61,252
1,529
1783,2
3,191
349,33
8,1299
653,41
7970,184
150,45
814,4
429,26
32,716
4714,10
1691,168
884,110
116,144
10,261
5103,13
125,94
58,9
37,792
632,110
489,371
16,525
2307,430
2,592
101,38
138,48
1187,55
384,783
1931,5
114,2
238,227
740,48
1685,208
364,860
6876,147
1526,542
38,116
8,39
506,108
38,1555
56,307
19,425
169,116
3216,127
577,151
118,49
7398,10
28,297
88,68
2932,137
1275,233
781,7
2239,1
278,3
248,360
93,0
26,75
676,1
194,1384
452,48
2,867
25,2
154,934
3736,32
1480,762
1913,4
186,119
8,986
1278,1
229,4
6778,251
1225,155
4139,37
597,1093
0,29
4897,2
1351,833
138,167
87,136
1996,1126
380,118
2350,14
1000,27
986,82
472,980
86,51
2467,1983
19,118
1488,143
2771,237
259,679
464,743
542,358
104,270
7142,7
270,37
1215,69
136,9
1494,4
3810,13
1563,805
18,85
4,0
5426,1434
4806,148
919,366
2082,175
107,1804
17,36
1,703
286,1148
201,976
53,799
97,135
791,1
7711,21
980,78
468,282
4839,58
6968,64
22,32
2647,25
3666,35
287,68
490,80
183,23
538,2
5013,75
609,127
5082,1710
791,453
671,115
0,300
129,72
408,1
3789,9
2996,164
3971,1220
140,584
4945,47
253,49
200,163
608,32
1311,48
5085,715
1813,143
72,332
1234,206
542,17
731,72
399,16
332,21
392,194
122,577
27,1941
214,17
569,6
1779,52
3952,4
8,385
3516,53
2771,118
900,152
501,333
28,115
51,146
14,10
4881,62
1238,37
853,9
122,5
7388,45
41,121
350,13
758,414
705,2
27,58
1636,47
573,11
1915,112
84,40
15,1518
70,15
734,38
93,166
40,78
3,66
282,23
600,6
28,567
1995,9
88,346
0,1040
150,6
295,1131
3743,8
2,9
2309,43
27,614
5800,38
96,67
737,93
502,1123
248,126
232,515
68,169
1232,1256
206,59
736,2
201,409
