a_id,o_id
581,2986
261,216
157,23
450,3
127,7961
76,201
39,471
189,422
9,0
48,618
2,1867
20,384
623,3741
27,420
1447,2
199,2510
357,7109
1,946
19,313
26,615
129,2653
31,3038
112,4690
1197,1101
611,0
221,2900
115,1233
90,1221
119,2101
530,102
627,1046
78,1442
539,220
11,1447
573,53
6,1374
47,338
1170,169
68,2182
657,292
69,40
131,653
11,867
126,42
78,2293
6,922
323,5905
82,52
1,58
593,1396
153,359
483,680
0,1538
81,133
337,19
1538,179
9,1876
1335,75
115,418
205,28
85,582
193,3200
470,128
68,6336
184,1897
2,1178
20,215
603,38
522,0
1239,141
31,3242
379,183
359,6029
180,51
21,3313
138,1422
210,4577
77,1527
4,5966
139,697
14,331
37,42
293,176
242,1816
353,141
32,934
383,6861
168,38
50,54
10,3409
225,36
45,881
130,17
8,1465
37,2249
794,56
282,468
49,455
40,2026
307,1044
42,2815
301,5633
738,2928
1199,2797
784,3688
11,28
850,21
172,41
518,2120
93,553
257,301
137,727
84,1088
17,889
9,3108
441,41
0,248
2,3466
4,1356
9,382
721,179
940,475
21,7932
15,33
181,969
929,6058
123,86
56,29
19,147
118,303
14,154
196,1305
270,0
92,1498
1344,3197
477,1296
62,166
35,2498
32,117
744,680
36,724
165,8
520,25
17,1
10,858
1479,2748
1725,496
784,1489
420,41
182,2968
83,497
69,206
226,1711
244,164
22,463
172,344
68,281
54,860
162,7086
79,187
1531,1317
14,1385
1600,2
41,1377
27,1330
90,2166
1989,1
82,286
137,2983
693,462
139,2065
1,1804
469,1695
252,1
46,2752
72,359
81,495
0,883
124,6423
150,1189
23,1961
978,1498
152,686
39,50
341,198
1978,967
359,1085
1030,112
44,3011
81,3121
25,1085
4,810
133,74
216,400
52,62
15,170
598,1
5,273
1,6706
9,2058
24,2893
37,1920
113,282
1462,3188
1136,1386
4,366
276,1419
21,4165
87,1167
504,2732
1226,2110
135,533
1223,58
84,67
621,2020
54,623
354,1421
95,461
10,705
856,139
526,265
1317,2
586,28
70,4028
895,1679
2,1004
184,1015
258,386
297,696
140,930
486,36
35,4756
264,1950
1,221
2159,5041
656,2667
12,507
72,86
93,1492
367,1
113,3298
44,36
112,5978
390,56
18,1975
138,48
190,3133
258,3117
4,601
482,6316
59,542
66,270
211,843
6,1638
1584,3496
10,1881
33,40
117,4522
697,1
74,1088
275,87
21,583
5,194
102,1102
104,131
180,88
23,1570
1,4520
24,5111
223,43
631,190
13,985
89,19
1546,25
202,1810
174,660
146,205
238,543
812,794
7,1080
9,2999
21,3728
293,155
382,3122
178,2401
141,2411
243,4137
2,319
1053,458
466,6769
1114,4912
46,7208
22,149
151,499
93,0
130,10
3,296
24,569
1075,76
49,474
291,101
467,6963
83,135
38,5089
1441,1275
1856,198
219,967
351,3606
751,1800
25,2
3,7643
50,599
89,7307
124,2531
105,125
1410,140
278,1258
651,48
10,136
33,377
517,711
148,30
67,70
51,845
35,1392
241,7991
0,29
256,183
298,2274
775,4057
555,186
25,1499
933,1492
35,4189
375,141
13,650
285,165
603,86
1,1558
303,321
711,452
342,169
416,43
517,155
104,270
11,2526
152,900
445,1
1067,82
4,0
832,385
25,1815
112,23
46,5115
6,1049
190,702
76,4797
47,19
218,7059
17,36
130,349
19,562
26,282
34,4914
25,6694
1,6404
37,186
120,736
62,711
1411,140
26,3668
18,537
2,178
59,1555
1,3121
36,117
1041,8
269,1293
15,1241
130,129
8,1033
116,42
10,507
49,87
12,349
231,811
1377,1
789,371
107,3102
1,5549
67,375
429,260
528,131
408,1
122,1421
24,7509
105,1677
253,49
1643,8
495,116
69,3047
0,4002
10,63
2176,1231
2,2775
46,832
30,453
140,6761
76,131
39,9
959,72
32,313
26,4259
1,3846
15,81
612,51
1414,2475
485,723
19,259
517,0
141,1836
14,10
23,328
1579,27
862,217
2,453
4,139
27,58
11,1425
465,1481
760,1774
13,2408
84,40
264,423
107,121
144,141
1,564
3,66
26,225
600,6
173,2618
30,1117
844,945
97,28
115,1367
1944,1108
2,9
883,518
198,1497
2,6764
1122,505
225,289
45,118
1043,723
16,5852
24,2282
21,110
23,688
233,8
9,447
101,1
1406,402
1756,2649
994,2672
2,1232
4,614
6,28
1258,173
1174,3756
564,606
369,4994
5,7613
10,1954
52,3021
7,2222
33,3
383,1630
226,647
101,1733
2010,1633
16,1865
131,424
857,136
527,14
1002,1443
8,12
31,3344
764,361
52,2561
17,450
326,340
1,965
97,1344
28,198
763,4087
53,693
1616,0
16,277
918,2054
2,344
115,705
64,1
410,53
849,4444
75,899
278,100
192,2953
552,133
1,385
1857,52
5,869
26,116
430,2622
11,5248
156,5039
44,2011
41,674
1235,1594
6,7327
48,194
417,403
382,485
940,969
135,105
68,28
158,922
695,81
718,242
1036,51
86,616
25,6004
15,3949
9,1679
0,50
11,402
211,2718
2180,7595
2,1063
341,2076
37,4295
29,42
13,3429
52,253
350,2250
743,1321
53,2017
42,70
5,82
724,1130
104,275
194,397
284,15
321,133
1526,1315
99,24
27,196
179,1
36,670
90,4308
8,183
1779,3943
1018,0
616,2112
184,7216
1,850
683,526
448,93
14,284
37,133
83,315
46,173
14,2939
91,3388
96,1410
117,24
22,5
2050,1986
8,1134
2114,477
105,2094
49,42
7,1548
72,149
210,255
893,2254
228,1396
196,62
