c_id,k_id
0,104
0,5
0,11
1,136
1,0
1,1
1,78
1,6
2,199
3,105
3,200
3,137
3,201
3,202
5,10
6,21
7,0
7,9
7,1
7,19
7,30
9,2
9,3
11,0
11,9
11,59
11,1
11,19
16,8
16,20
16,138
16,139
16,33
17,8
17,1
17,45
17,4
17,203
19,0
19,4
19,60
19,1
19,6
21,4
21,0
21,14
21,78
21,6
24,34
24,79
25,0
25,67
25,4
25,26
25,68
26,38
26,8
26,35
26,46
26,47
28,9
28,1
28,19
29,8
29,106
29,48
29,0
29,6
30,5
30,15
34,9
34,1
34,19
34,0
34,6
35,39
36,140
36,204
37,141
37,205
37,107
37,69
37,206
38,207
38,208
38,209
38,210
38,211
40,3
40,2
46,212
46,108
47,3
47,2
48,2
48,3
49,31
50,213
57,18
57,29
57,0
57,6
57,1
59,18
59,24
59,49
59,27
59,28
60,80
60,81
60,142
60,12
60,0
61,80
61,81
61,12
61,14
61,0
62,12
62,0
62,1
62,6
64,18
64,29
64,24
64,27
64,61
65,21
67,214
69,10
73,29
73,18
73,9
73,1
73,19
75,82
76,83
77,18
77,24
77,61
77,0
77,78
79,20
79,0
79,109
79,1
79,6
80,10
81,10
83,79
83,40
83,34
83,215
87,0
87,50
87,14
87,41
87,12
88,18
88,24
88,27
88,48
88,28
93,1
93,0
93,4
93,216
93,84
95,3
95,2
97,0
97,217
97,85
97,4
97,60
98,40
102,13
102,27
103,3
103,2
105,8
105,35
105,218
105,38
105,46
106,143
106,25
106,219
106,22
106,42
108,18
108,24
108,220
108,49
108,27
109,4
109,221
109,144
109,12
109,0
110,0
110,67
110,4
110,26
110,48
111,0
111,26
111,4
111,86
111,1
112,222
114,223
114,107
114,224
114,141
114,225
116,18
116,24
116,28
116,1
116,145
117,3
117,2
120,226
120,12
120,1
121,2
121,3
122,3
122,2
123,16
123,17
123,7
123,110
123,87
124,16
124,7
124,17
124,62
124,87
125,5
125,13
125,15
125,227
125,11
127,36
127,70
128,111
128,23
128,20
128,0
128,33
129,8
129,33
129,112
129,228
129,1
131,4
131,88
131,146
131,26
131,86
132,147
132,148
132,149
132,229
132,230
133,16
133,17
133,7
133,51
133,150
134,151
134,29
134,231
134,1
134,136
135,10
136,50
136,0
136,14
136,41
136,35
137,5
137,15
138,10
141,23
141,4
141,232
141,33
141,1
142,52
142,89
142,71
142,72
142,7
143,52
143,89
143,71
143,233
143,7
144,16
144,17
144,7
144,152
145,16
145,7
145,17
145,53
145,234
146,113
147,7
147,53
147,17
147,51
147,16
148,16
148,7
148,17
148,53
148,62
149,16
149,17
149,7
149,62
149,110
151,153
151,8
151,4
151,114
151,33
154,154
155,26
155,18
155,24
155,49
155,27
156,235
156,236
156,71
157,2
157,3
159,15
160,16
160,7
160,17
160,51
160,115
161,16
161,17
161,63
161,115
161,237
162,16
162,17
162,7
162,53
162,116
163,16
163,17
163,7
163,53
163,116
164,62
164,16
164,17
164,7
164,116
165,16
165,17
165,7
165,63
165,51
167,9
167,1
167,19
167,0
167,59
168,2
168,3
169,138
169,139
169,155
169,1
169,0
171,18
171,24
171,106
171,49
171,61
172,36
172,7
172,72
172,117
173,7
173,54
173,55
173,72
173,156
174,154
175,2
175,3
177,16
177,152
177,7
177,17
178,238
178,7
178,239
178,63
178,17
179,26
179,1
179,0
179,6
180,18
180,29
180,23
180,8
180,26
182,118
182,32
182,73
183,240
184,52
184,157
184,241
184,242
184,158
185,52
185,89
185,7
185,71
185,72
186,157
186,52
186,243
186,158
186,7
189,31
191,56
191,43
191,74
192,16
192,7
192,62
192,53
192,17
193,7
193,53
193,16
193,17
