f_id,o_id
16686,11
13798,7
5942,22
15692,122
4039,173
19548,3
17225,196
6103,1
6450,510
11606,0
14852,0
16936,0
3083,1046
2682,511
6145,133
4110,1
7095,3
19102,209
19146,1313
8994,5
813,1186
6124,3310
14200,7175
8424,32
11418,2012
5532,3
5128,432
8548,193
4796,262
3995,375
12118,248
3967,19
10384,1
11228,386
6066,509
12990,10
4841,1080
8774,4538
13446,265
14540,1135
3235,8
468,5386
6790,2
5085,2
6134,7
19217,86
5553,496
1860,2708
13213,1231
14714,3477
3624,312
10222,19
2690,542
3979,22
15950,685
754,893
12958,849
1808,698
3490,57
14338,514
13629,4
18020,704
4325,383
9149,126
3328,51
834,1876
9234,196
910,1377
6768,6171
10759,31
3602,873
3837,24
9358,29
6244,3424
9291,10
15906,5033
4912,4
5246,3
19295,7913
766,101
4803,186
1658,307
11996,56
13182,27
6568,45
9509,177
2628,2737
1676,5
1480,38
17810,158
2085,2
1837,22
8798,731
15550,181
10898,6690
6170,3
19662,248
9028,2672
17890,3
9346,16
2822,871
3322,1
13660,3691
6441,765
5350,4112
16736,2
18156,8
3402,8
9064,302
1293,1047
5992,13
6904,8
452,1171
1044,227
3517,329
7171,212
472,96
6269,27
2382,43
4019,296
13771,497
5814,6028
17154,1760
16513,232
8419,144
12306,8
16896,2051
14931,97
7848,1786
16727,19
16272,5061
13583,23
4563,38
17508,3272
10880,1741
9140,7
2233,155
16129,7465
12335,100
16078,3060
7482,2867
15661,480
15732,7419
4373,154
3210,362
10390,273
9538,1
2977,133
18666,1845
7198,10
14936,662
8394,131
6988,2
13021,295
4006,2785
7956,33
10345,4
12324,56
6337,1
2450,33
16856,255
11864,489
15903,19
5648,28
12152,36
16620,255
5194,1774
9884,1
11200,1157
16258,406
186,10
684,509
10600,101
4652,2806
5454,40
12950,62
18906,696
17777,19
11743,1096
437,187
17470,78
11146,166
7230,247
6474,76
8618,851
8878,13
10212,4624
12271,138
2520,3
14468,141
9039,58
14305,31
11318,163
9173,1140
14818,73
15878,0
17150,7613
5432,420
3267,5715
6430,6117
10771,13
12930,972
17962,0
12457,1062
1932,4021
11656,6841
1567,38
15550,32
8600,7
2468,1700
3165,3296
1048,36
5975,2
8756,721
17698,3089
10281,27
14280,56
18166,2
8947,38
11311,1337
4616,94
270,0
13092,1217
18824,5
15553,159
17885,3803
11970,73
12646,1182
15290,386
16360,7497
16931,61
9640,1233
3226,112
11787,786
16118,4747
16657,7536
10864,4658
14570,28
16334,648
7763,8
10302,684
15394,4976
11864,4530
11901,4765
13222,38
287,485
7440,509
15556,2852
3140,301
17456,219
10394,158
19636,9
18880,10
14204,2471
2870,10
2944,136
16432,371
19176,7888
12610,521
17589,450
10097,321
8635,578
5770,1503
12480,84
6000,2466
8897,4
13711,1358
15674,19
14047,10
12357,131
153,61
651,266
8592,29
10924,38
6916,57
9417,575
12347,2
8460,28
2662,1043
9299,575
17688,489
7100,829
6008,38
14272,14
19748,101
7637,2
15419,1351
18618,8
5845,4325
9446,525
3950,3
12503,268
13409,253
234,485
16511,232
2382,901
5025,13
19429,977
12740,209
18157,101
9097,1047
4540,1370
2932,1263
11648,854
18697,202
5752,376
18826,302
5407,5986
10131,3200
16581,28
6130,13
3219,541
15866,0
18630,7799
5994,2839
14722,56
14128,24
4227,155
10281,128
14280,163
4365,57
4976,8
9687,183
8004,1360
7550,42
16556,3
13560,1204
14580,58
17220,42
530,3
7017,1
12006,6890
3074,0
6422,1060
7160,2851
7600,0
11654,854
11861,38
4902,4250
18386,126
14414,7229
8146,247
9116,241
84,67
19498,10
7477,375
5871,1087
4199,147
13270,713
2528,5636
4833,61
2944,3
5204,36
9002,139
11408,10
13350,40
11195,3605
16012,13
4980,43
4022,60
4809,133
8022,767
15452,3737
16507,0
14094,10
17424,1313
6518,8
5606,13
8588,126
14310,1272
15418,48
16781,328
15764,36
1714,75
17650,73
18492,2099
10220,162
5896,643
13350,7044
15964,203
13526,1238
4789,286
4918,178
14231,85
6496,2857
18868,517
4452,0
15338,2590
5524,86
12090,1
4514,447
7408,2485
9944,2
1050,2097
907,2096
18509,23
114,2
6345,2
16737,48
4614,340
9346,13
2653,2743
9429,1100
1281,5492
9892,0
11344,2540
4134,41
13380,51
369,33
7628,819
10783,1423
9162,4568
15728,13
2784,4079
1392,606
89,19
6320,61
10906,2949
15358,2591
982,5448
9213,3460
2014,626
9881,508
19242,255
5020,351
16859,1
17970,3
9482,17
5066,13
3885,2159
6642,27
9786,67
766,893
18145,47
13597,225
12640,1035
16418,0
14481,973
3573,1396
7796,56
1830,2
19109,79
12466,129
16048,1543
13644,482
11418,0
9035,28
2822,0
3871,15
14008,5
5894,889
1589,458
9044,806
3165,760
1354,61
9936,24
5868,502
4178,1
19612,2084
15309,3
3681,666
10691,55
4719,1406
4123,5849
14834,101
13638,482
10298,6603
5577,164
14512,4921
10089,6584
5678,2
2445,757
6906,850
4486,232
7111,1
8508,1661
4827,178
7784,43
6758,894
15204,13
18054,1652
13561,0
1154,22
11732,1096
14970,7303
8341,807
13644,1097
15660,264
14144,1
1573,265
16852,54
11308,4723
6073,279
6858,2
11410,598
17504,3791
5865,85
19026,359
880,1110
15988,1642
11995,17
9104,4565
12796,0
10924,4669
5101,4
12324,2554
9754,5
4658,595
9411,2182
5426,5984
15796,1687
11133,3602
5626,276
8416,626
14912,38
10166,169
16722,1981
14988,203
7540,13
15290,495
11367,2958
17194,1119
14614,941
7883,553
12103,83
9411,105
10275,2003
13003,219
12784,19
1412,61
2771,297
8984,445
5181,41
7472,3
13574,703
1960,1897
18168,3
2300,198
17520,3154
19679,1
13064,131
14944,51
15977,579
8674,1
1957,185
10900,487
19028,4
3106,187
10247,8
11280,13
11204,61
2028,2
17946,3096
19412,5270
4467,80
15545,920
7278,23
1377,1
17389,42
9366,1214
11846,206
8631,371
12160,507
15920,203
13092,38
4865,76
7018,2480
874,13
11825,449
14208,940
6687,1322
7203,1327
11564,2
824,5425
6536,4385
16418,5077
9342,599
15112,1834
10734,6668
6322,9
4361,31
3539,1079
19083,50
12484,84
12968,409
15296,694
12696,124
3126,1136
16356,27
14576,28
5042,5936
9313,29
9366,1
12294,108
11539,19
7884,1786
10794,38
3616,13
4622,827
7922,2397
10268,129
13165,722
17386,2298
2815,2399
4963,27
1336,1716
11515,1
9554,3
12445,18
354,287
2642,870
3832,2421
18905,93
4858,1
11533,2968
14208,84
12663,459
1544,5515
11408,611
15424,237
1238,37
13375,22
17220,55
267,1102
4447,569
7568,692
18484,2227
3648,90
4670,1603
7957,183
9412,3537
13748,43
16495,74
13752,7117
8348,0
4028,301
17002,282
14860,151
17500,13
15642,1749
13270,674
14754,38
10696,42
1568,37
14451,449
5188,2401
12185,361
16178,382
468,429
982,803
13064,270
2476,3252
680,13
878,1264
10264,349
12817,42
17824,429
16574,8
4728,24
5160,5949
19796,37
14872,10
6276,10
14038,856
18058,13
6780,6172
6384,1
2520,194
8659,22
547,93
19682,271
6422,6111
2750,24
860,1880
7322,1976
15461,42
16125,19
9691,1228
10106,37
8416,144
8469,138
16662,264
5826,1359
12289,61
5791,31
6084,43
7093,1108
2040,40
15089,28
17625,115
19402,3116
5221,248
12934,862
13727,23
8952,32
11704,511
8620,8
5029,1289
11722,1096
7592,75
12213,2
17624,36
4134,2
9530,810
7378,4447
12028,7
10233,361
1471,1
4992,1276
5930,1890
16789,462
648,2090
8838,2176
15186,498
13199,2
13406,1198
13726,3694
18028,155
5954,30
9028,337
16991,7599
9482,122
2934,2401
3437,842
10132,144
19440,145
15316,375
4948,22
2307,1741
18960,1000
11486,43
13412,13
10612,4
19402,164
1281,1274
978,3960
3657,9
663,2
10281,2935
10798,88
338,307
8756,8
10678,42
11404,72
16806,425
17087,8
14199,28
6576,6142
19564,30
6159,2473
11076,56
16475,545
8284,2891
3561,303
6219,31
12358,193
13130,1938
19236,144
1634,32
9545,2928
7203,1417
163,147
3556,22
13746,28
16657,953
13642,93
452,3883
1658,5529
2797,118
12542,13
1832,3
7915,906
414,32
9330,601
11645,4744
17062,43
16624,3
17726,2
5204,584
9104,116
18514,4914
3518,57
11212,6729
5369,4279
7746,7
6275,76
11892,150
17423,151
8660,6411
15472,1244
13840,4886
419,2332
8455,28
1837,65
403,28
3028,3
5618,56
4940,12
3436,2411
10618,19
12873,6982
19200,3040
3744,122
12887,92
5448,2826
8798,4541
5861,174
11595,2016
5884,1
7778,472
3605,1304
16284,421
4332,2
1812,214
15910,43
5780,1503
13038,58
18754,259
16470,523
3904,30
13061,1
5228,259
9146,664
16532,154
14812,11
6278,10
6003,2840
16428,1662
7412,403
9120,162
7013,72
18469,30
1854,58
10488,38
6478,1368
5261,61
14046,563
6348,40
11412,752
2553,1117
11836,248
5051,1
13026,1682
11128,101
6970,639
7595,0
4495,518
11230,3370
19260,3829
4882,1408
12068,42
13316,220
13358,2271
10040,7
7242,2666
2372,901
11802,2550
18092,198
9630,6513
19246,122
9120,1289
13650,533
4814,2
5784,1318
15414,137
11200,810
2806,4092
4052,5837
3242,136
17830,72
18954,423
13676,487
10249,3
11665,769
15824,2
3316,2752
8021,163
4716,5885
19318,1409
7428,139
13500,964
11687,1
14880,25
7905,571
14300,163
16261,51
9502,618
996,89
4551,81
3517,101
6632,559
13232,1873
4841,1613
16066,7455
19418,125
4435,569
7996,180
11230,3609
18465,158
15696,5004
1128,54
18974,265
2799,2399
14223,4906
1630,3217
2268,33
7852,554
11770,13
15016,5
5021,2352
7909,1155
5736,131
3070,122
15666,67
14368,7220
5648,1481
11230,131
13585,619
10032,29
17600,338
16996,635
17662,48
8190,83
2456,73
17581,86
15642,27
9782,24
19662,3123
4794,1408
9950,3522
1834,19
6248,42
8635,4115
5852,1103
10484,7
14408,51
282,48
6587,1183
11084,3594
9120,61
15722,220
19622,81
8518,260
9424,11
2586,526
18880,2618
17105,71
12104,2977
12557,121
2286,1
16675,3697
10232,880
7964,1654
14872,47
17475,43
13406,7051
8844,498
11024,475
5991,31
16972,23
11939,507
10197,83
3857,946
16848,7558
18481,40
11413,0
4335,57
9770,7
11722,1425
1831,1286
16416,121
8232,489
11848,3603
7631,733
12252,1
5861,576
16434,373
4551,3357
461,3
14106,183
13276,42
14928,36
13432,2564
16152,173
19487,183
15812,5016
11112,81
18206,723
19125,402
7876,734
17408,572
13688,9
16184,382
2548,450
7710,1193
19491,1
17786,3
6092,1318
16285,0
13556,0
6550,137
5278,165
13771,3695
15556,1063
5907,292
15403,832
10951,127
12746,673
10771,237
10716,556
7676,1273
11816,3631
12646,946
1182,224
12108,27
5311,261
5719,136
269,485
15315,209
19076,7866
9962,20
5688,3404
2278,27
13199,41
17825,1025
8832,1
13399,30
13729,118
5451,31
14816,7
5688,2
12426,1428
18064,13
6353,147
11228,324
4800,58
6814,32
10612,33
1180,22
9808,879
2230,1899
255,0
14315,7212
4880,17
18516,23
9434,1
11432,23
2836,127
11404,165
7320,67
16584,2291
8968,29
2651,8
5679,19
14597,316
14343,200
15874,68
11786,1161
14403,101
5407,316
13946,4891
8414,32
17232,42
438,2646
2796,666
18704,151
17114,2
982,1171
19241,432
770,3
344,3882
11926,0
15428,0
3570,0
11792,100
7851,40
660,3166
3860,11
12542,22
1168,1
19586,471
1281,806
12186,356
4040,2779
1092,2100
9224,155
1036,8
14950,1266
8675,1283
19629,164
14102,196
17195,1658
8476,3399
15486,1607
2457,496
14663,0
4438,56
5510,10
7699,219
18966,654
400,2644
16998,635
9628,1018
4850,107
11559,2
17606,2606
13206,515
949,20
6080,4346
14475,7243
17062,456
12505,632
11374,7
3389,98
17435,31
14410,3
8182,224
15459,4
5310,129
13288,0
14571,28
19654,928
4420,1403
3192,662
7644,134
5671,9
14831,919
14358,13
16394,273
7436,186
5205,151
13572,3185
12667,3655
19484,1442
2096,186
11268,212
13051,1
18880,505
10204,1495
17126,170
729,231
12638,139
13634,0
15632,22
3852,17
9463,332
13606,218
8898,4
7434,24
4705,8
18445,81
12281,2
7888,467
3376,56
8556,23
3644,5766
7376,263
13153,300
11418,93
18021,370
15796,7422
14082,673
7036,1973
16979,1071
13558,60
